id,code_prefix_start,name,name@ca
account_group_470,470,"Administracions públiques, deutor","Administracions públiques, deutor"
account_group_472,472,"Administracions públiques, impost indirecte suportat","Administracions públiques, impost indirecte suportat"
account_group_473,473,"Administracions públiques, retencions i pagaments a compte per ISI","Administracions públiques, retencions i pagaments a compte per ISI"
account_group_475,475,"Administracions públiques, creditor","Administracions públiques, creditor"
account_group_476,476,"Caixa Andorrana de Seguretat Social, creditors","Caixa Andorrana de Seguretat Social, creditors"
account_group_477,477,"Administracions públiques, impost indirecte repercutit","Administracions públiques, impost indirecte repercutit"
account_group_48,48,Ajustaments per periodificació,Ajustaments per periodificació
account_group_480,480,Despeses anticipades,Despeses anticipades
account_group_485,485,Ingressos anticipats,Ingressos anticipats
account_group_49,49,Deteriorament de valor de crèdits comercials i provisions a curt termini,Deteriorament de valor de crèdits comercials i provisions a curt termini
account_group_490,490,Deteriorament de valor de crèdits per operacions comerciales,Deteriorament de valor de crèdits per operacions comerciales
account_group_493,493,Deteriorament de valor de crèdits per operaciones comercials  amb parts vinculades,Deteriorament de valor de crèdits per operaciones comercials  amb parts vinculades
account_group_499,499,Provisions per operacions comercials,Provisions per operacions comercials
account_group_5,5,Comptes financers,Comptes financers
account_group_50,50,"Emprèstits, deutes amb característiques especials i altres emissions anàlogues a curt termini","Emprèstits, deutes amb característiques especials i altres emissions anàlogues a curt termini"
account_group_500,500,Obligacions i bons a curt termini,Obligacions i bons a curt termini
account_group_505,505,Deutes representats en altres valors negociables a curt termini,Deutes representats en altres valors negociables a curt termini
account_group_506,506,Interessos a curt termini d'emprèstits i altres emissions anàlogues,Interessos a curt termini d'emprèstits i altres emissions anàlogues
account_group_51,51,Deutes a curt termini amb parts vinculades,Deutes a curt termini amb parts vinculades
account_group_510,510,Deutes a curt termini amb entitats de crèdit vinculades,Deutes a curt termini amb entitats de crèdit vinculades
account_group_511,511,"Proveïdors d'immobilitzat a curt termini, parts vinculades","Proveïdors d'immobilitzat a curt termini, parts vinculades"
account_group_512,512,"Creditors per arrendament financer a curt termini, parts vinculades.","Creditors per arrendament financer a curt termini, parts vinculades."
account_group_513,513,Altres deutes a curt termini amb parts vinculades,Altres deutes a curt termini amb parts vinculades
account_group_514,514,Interessos a curt termini de deutes amb parts vinculades,Interessos a curt termini de deutes amb parts vinculades
account_group_52,52,Deutes a curt termini per prèstecs rebuts i altres conceptes,Deutes a curt termini per prèstecs rebuts i altres conceptes
account_group_520,520,Deutes a curt termini amb entitats de crèdit,Deutes a curt termini amb entitats de crèdit
account_group_523,523,Proveïdors d'immobilitzat a curt termini,Proveïdors d'immobilitzat a curt termini
account_group_524,524,Creditors per arrendament financer a curt termini,Creditors per arrendament financer a curt termini
account_group_526,526,Dividend actiu a pagar,Dividend actiu a pagar
account_group_527,527,Interessos a curt termini de deutes amb entidats de crèdit,Interessos a curt termini de deutes amb entidats de crèdit
account_group_528,528,Altres deutes a curt termini,Altres deutes a curt termini
account_group_529,529,Provisions a curt termini,Provisions a curt termini
account_group_53,53,Inversions financeres a curt termini en parts vinculades,Inversions financeres a curt termini en parts vinculades
account_group_530,530,Participacions a curt termini en parts vinculades,Participacions a curt termini en parts vinculades
account_group_531,531,Crèdits i valors representatius de deute a curt termini de parts vinculades,Crèdits i valors representatius de deute a curt termini de parts vinculades
account_group_533,533,Interessos a curt termini de crèdits i valors representatius de deute de parts vinculades,Interessos a curt termini de crèdits i valors representatius de deute de parts vinculades
account_group_535,535,Dividend a cobrar d'inversions financeres en parts vinculades,Dividend a cobrar d'inversions financeres en parts vinculades
account_group_54,54,Altres inversions financeres a curt termini,Altres inversions financeres a curt termini
account_group_540,540,Inversions financeres a curt termini en instruments de patrimoni,Inversions financeres a curt termini en instruments de patrimoni
account_group_541,541,Crèdits i valors representatius de deute a curt termini,Crèdits i valors representatius de deute a curt termini
account_group_543,543,Crèdits a curt termini per alienació d'immobilitzat,Crèdits a curt termini per alienació d'immobilitzat
account_group_544,544,Crèdits a curt termini al personal,Crèdits a curt termini al personal
account_group_545,545,Dividend a cobrar,Dividend a cobrar
account_group_546,546,Interessos a curt termini de crèdits i valors representatius de deutes,Interessos a curt termini de crèdits i valors representatius de deutes
account_group_548,548,Imposicions a curt termini,Imposicions a curt termini
account_group_55,55,Altres comptes no bancaris,Altres comptes no bancaris
account_group_550,550,Titular de l'explotación,Titular de l'explotación
account_group_551,551,Compte corrent amb socis i administradors,Compte corrent amb socis i administradors
account_group_552,552,Compte corrient amb altres persones i entidats vinculades,Compte corrient amb altres persones i entidats vinculades
account_group_554,554,Compte corrient amb unions temporals d'empreses i comunitats de bens,Compte corrient amb unions temporals d'empreses i comunitats de bens
account_group_555,555,Partides pendents d'aplicació,Partides pendents d'aplicació
account_group_556,556,Desemborsaments exigits sobre participacions en el patrimoni net,Desemborsaments exigits sobre participacions en el patrimoni net
account_group_557,557,Dividend actiu a compte,Dividend actiu a compte
account_group_56,56,Fiances i depòsits rebuts i constituïts a curt termini i ajustos per periodificació,Fiances i depòsits rebuts i constituïts a curt termini i ajustos per periodificació
account_group_560,560,Fiances rebudes a curt termini,Fiances rebudes a curt termini
account_group_561,561,Depòsits rebuts a curt termini,Depòsits rebuts a curt termini
account_group_565,565,Fiances constituïdes a curt termini,Fiances constituïdes a curt termini
account_group_566,566,Depòsits constituïts a curt termini,Depòsits constituïts a curt termini
account_group_567,567,Interessos pagats per anticipat,Interessos pagats per anticipat
account_group_568,568,Interessos cobrats per anticipat,Interessos cobrats per anticipat
account_group_569,569,Garanties financeres a curt termini,Garanties financeres a curt termini
account_group_57,57,Tresoreria,Tresoreria
account_group_570,570,"Caixa, euros","Caixa, euros"
account_group_571,571,"Caixa, moneda estrangera","Caixa, moneda estrangera"
account_group_572,572,"Bancs i institucions de crèdit c/c vista, euros","Bancs i institucions de crèdit c/c vista, euros"
account_group_573,573,"Bancs i institucions de crèdit c/c vista, moneda estrangera","Bancs i institucions de crèdit c/c vista, moneda estrangera"
account_group_574,574,"Bancs i institucions de crèdit, comptes d'estalvi, euros","Bancs i institucions de crèdit, comptes d'estalvi, euros"
account_group_575,575,"Bancs i institucions de crèdit, comptes d'estalvi, moneda estrangera","Bancs i institucions de crèdit, comptes d'estalvi, moneda estrangera"
account_group_576,576,Inversions a curt termini de gran liquiditat,Inversions a curt termini de gran liquiditat
account_group_58,58,Actius no corrents mantinguts per a la venda i actius i passius associats,Actius no corrents mantinguts per a la venda i actius i passius associats
account_group_580,580,Immobilitzat,Immobilitzat
account_group_581,581,Inversiones amb persones i entitats vinculades,Inversiones amb persones i entitats vinculades
account_group_582,582,Inversions financeres,Inversions financeres
account_group_583,583,"Existencies, deutors comercials i altres comptes a cobrar","Existencies, deutors comercials i altres comptes a cobrar"
account_group_584,584,Altres actius,Altres actius
account_group_585,585,Provisions,Provisions
account_group_586,586,Deutes amb característiques especials,Deutes amb característiques especials
account_group_587,587,Deutes amb persones i entitats vinculades,Deutes amb persones i entitats vinculades
account_group_588,588,Creditors comercials i altres comptes a pagar,Creditors comercials i altres comptes a pagar
account_group_589,589,Altres passius,Altres passius
account_group_59,59,Deteriorament del valor d'inversions financeres a curt termini i d'actius no corrients mantinguts per a la venda,Deteriorament del valor d'inversions financeres a curt termini i d'actius no corrients mantinguts per a la venda
account_group_593,593,Deteriorament de valor de participacions a curt termini en parts vinculades,Deteriorament de valor de participacions a curt termini en parts vinculades
account_group_594,594,Deteriorament de valor de valors representatius de deute a curt termini de parts vinculades,Deteriorament de valor de valors representatius de deute a curt termini de parts vinculades
account_group_595,595,Deteriorament de valor de crèdits a curt termini en parts vinculades,Deteriorament de valor de crèdits a curt termini en parts vinculades
account_group_597,597,Deteriorament de valor de valores representativos de deute a curt termini,Deteriorament de valor de valores representativos de deute a curt termini
account_group_598,598,Deteriorament de valor de crèdits a curt termini,Deteriorament de valor de crèdits a curt termini
account_group_599,599,Deteriorament de valor d'actius no corrents mantinguts per a la venda,Deteriorament de valor d'actius no corrents mantinguts per a la venda
account_group_6,6,Compres i despeses,Compres i despeses
account_group_60,60,Compres,Compres
